Student_ID,Name,Age,Program,Python,Mathematics,Statistics,Machine_Learning,Attendance,Average_Score,Performance
S018,Laiba Khan,22,SE,97.0,95.0,98.0,99.0,100.0,97.25,Excellent
S006,Ayesha Malik,22,SE,95.0,94.0,96.0,97.0,99.0,95.5,Excellent
S012,Noor Fatima,21,SE,92.0,90.0,93.0,95.0,98.0,92.5,Excellent
S003,Ahmed Raza,22,SE,90.0,88.0,91.0,93.0,96.0,90.5,Excellent
S016,Hira Shah,21,DS,89.0,91.0,88.0,90.0,96.0,89.5,Good
S008,Zainab Iqbal,21,AI,88.0,86.0,90.0,91.0,94.0,88.75,Good
S020,Mehwish,20,AI,86.0,89.0,87.0,90.0,93.0,88.0,Good
S001,Ali Khan,20,AI,85.0,78.0,92.0,88.0,95.0,85.75,Good
S014,Iqra Aslam,22,AI,84.0,83.0,86.0,88.0,92.0,85.25,Good
S010,Maryam Khan,20,DS,81.0,84.0,79.0,85.0,91.0,82.25,Good
S005,Usman Ali,21,AI,78.0,82.0,80.0,76.0,88.0,79.0,Average
S013,Talha Javed,20,DS,76.0,74.0,78.0,80.0,89.0,77.0,Average
S009,Bilal Ahmed,23,SE,73.0,77.0,75.0,79.0,82.0,76.0,Average
S017,Omar Farooq,20,AI,74.0,72.0,76.0,78.0,84.0,75.0,Average
S002,Sara Ahmed,21,AI,72.0,75.0,70.0,80.0,90.0,74.25,Average
S011,Hamza Siddiqui,22,AI,69.0,71.0,74.0,70.0,87.0,71.0,Average
S019,Abdullah,21,DS,68.0,66.0,70.0,72.0,80.0,69.0,Needs Improvement
S004,Fatima Noor,20,DS,65.0,70.0,68.0,72.0,85.0,68.75,Needs Improvement
S015,Danish Ali,23,SE,61.0,65.0,63.0,67.0,78.0,64.0,Needs Improvement
S007,Hassan Tariq,20,DS,55.0,60.0,58.0,62.0,75.0,58.75,Needs Improvement
